date,patch,prestige,keg_type,event,card1,card2,card3,card4,picked_card,unpicked_card1,unpicked_card2
2020-07-01 10:25:55,7.0.0.99,1,master mirror,,Mage Torturer,Pact,Kerack Cutthroat,Mage Infiltrator,Circle of Life,Smuggle,War of Clans
2020-07-01 10:25:28,7.0.0.99,1,master mirror,,Offering,Kerack Cutthroat,Fallen Knight,Kerack Frigate,Kerack City Guard,Pact,Lonely Champion
2020-07-01 10:24:53,7.0.0.99,1,master mirror,,Will o' the wisp,Drummond Berserker,Angry Mob*,Oakcritters,Lonely Champion,Naglfar's Crew,Kerack City Guard
2020-07-01 10:24:17,7.0.0.99,1,master mirror,,Will o' the wisp,Abandoned Girl*,Offering,Kerack Cutthroat,Naglfar's Crew*,Kerack City Guard,War of Clans
2020-07-01 10:23:37,7.0.0.99,1,master mirror,,Duén Canell Guardian,Kerack Marine,Offering,Drummond Villager,Egmund,The Apiarian Phantom,Freixenet
2020-07-01 01:06:19,7.0.0.99,1,master mirror,,Seditious Aristocrats,Drummond Villager,War of Clans,Offering,Usurper Officer,Ildiko,Blood Eagle
2020-07-01 01:03:47,7.0.0.99,1,master mirror,,Squirrel,Abandoned Girl*,Oakcritters,Offering,War of Clans,Mage Torturer,Pact
2020-07-01 01:03:14,7.0.0.99,1,master mirror,,Hamadryad,Drummond Berserker,Drummond Villager,Oakcritters,Freixenet,Lieutenant Von Herst,Marlene de Trastamara
2020-07-01 01:02:33,7.0.0.99,1,master mirror,,Tuirseach Invader,Mage Infiltrator,Drummond Berserker,Drummond Villager,Kerack City Guard,Duén Canell Guardian,An Craite Raiders
2020-07-01 01:01:58,7.0.0.99,1,master mirror,,Amnesty,Aen Elle Conqueror,Mutants Maker,Abandoned Girl,Naglfar's Crew,Cleric of the Flaming Rose,Mage Torturer
2020-07-01 01:01:25,7.0.0.99,1,master mirror,,Offering,Abandoned Girl,Cleric of the Flaming Rose,Oakcritters,Kerack Frigate,Hamadryad,Squirrel
2020-07-01 01:00:56,7.0.0.99,1,master mirror,,Kerack Frigate,Drummond Villager,Oakcritters,Mutants Maker,Squirrel,Duén Canell Guardian,An Craite Raiders
2020-07-01 01:00:24,7.0.0.99,1,master mirror,,An Craite Raiders,Naglfar's Taskmaster,Kerack Cutthroat,Kerack Marine,Pact,Lonely Champion,Kerack Frigate
2020-07-01 00:59:49,7.0.0.99,1,master mirror,,Amnesty,Fallen Knight,Fortune Teller,Aen Elle Conqueror,Smoke them out!,Smuggle,Will o' the wisp
2020-07-01 00:59:25,7.0.0.99,1,master mirror,,Smuggle,Kerack Cutthroat,Oakcritters,Mage Infiltrator,Cleric of the Flaming Rose,Mage Torturer,An Craite Raiders
2020-07-01 00:58:49,7.0.0.99,1,master mirror,,Drummond Berserker,Kerack Marine,Red Riders,Kerack Cutthroat,Wild Hunt Bruiser,An Craite Raiders,Kerack Frigate
2020-07-01 00:58:18,7.0.0.99,1,master mirror,,Squirrel,Mage Infiltrator,Drummond Villager,Kerack Cutthroat,Fergus var Emreis,Herkja Drummond,The Apiarian Phantom
2020-07-01 00:57:41,7.0.0.99,1,master mirror,,Hamadryad,Drummond Villager,Offering,Oakcritters,Amphibious Assault,Ard Gaeth,Ulrich
2020-07-01 00:55:59,7.0.0.99,1,master mirror,,Hamadryad,Naglfar's Taskmaster,Fortune Teller,Fallen Knight,The Apiarian Phantom,Siegfried of Denesle,Herkja Drummond
2020-07-01 00:55:10,7.0.0.99,1,master mirror,,Mage Torturer,Oakcritters,Abandoned Girl,Mage Infiltrator,Pact,Cleric of the Flaming Rose,Duén Canell Guardian
2020-07-01 00:54:35,7.0.0.99,1,master mirror,,Fortune Teller,Will o' the wisp*,Kerack Cutthroat,Oakcritters,Seditious Aristocrats,Pact,Naglfar's Crew
2020-07-01 00:53:59,7.0.0.99,1,master mirror,,Hamadryad,Fallen Knight,Abandoned Girl,Fortune Teller,Kerack City Guard,Wild Hunt Bruiser,Duén Canell Guardian
2020-07-01 00:53:19,7.0.0.99,1,master mirror,,Circle of Life,Mutants Maker,Naglfar's Taskmaster,Abandoned Girl,Mage Torturer,Hamadryad,An Craite Raiders
2020-07-01 00:52:36,7.0.0.99,1,master mirror,,An Craite Raiders,Fortune Teller,Aen Elle Conqueror,Duén Canell Guardian,Kerack Frigate,Hamadryad,Red Riders
2020-07-01 00:51:45,7.0.0.99,1,master mirror,,Squirrel,Kerack Cutthroat,Naglfar's Taskmaster,Fortune Teller,An Craite Raiders,Circle of Life,Naglfar's Crew
2020-07-01 00:51:02,7.0.0.99,1,master mirror,,Oakcritters,Fortune Teller,Mage Infiltrator,Amnesty,Mage Torturer,Duén Canell Guardian,Kerack Frigate
2020-07-01 00:50:23,7.0.0.99,1,master mirror,,Red Riders,Kerack Marine,Abandoned Girl,Fallen Knight*,Dunca*,Siegfried of Denesle,Fergus var Emreis
2020-07-01 00:49:43,7.0.0.99,1,master mirror,,Lonely Champion,Kerack Cutthroat,Mage Infiltrator,Fallen Knight,King Belohun,Winter Queen,Lieutenant Von Herst
2020-07-01 00:49:11,7.0.0.99,1,master mirror,,Fortune Teller,Abandoned Girl,Oakcritters,Lonely Champion,War of Clans*,Wild Hunt Bruiser,Hamadryad
2020-07-01 00:48:30,7.0.0.99,1,master mirror,,Smoke them out!,Angry Mob,Fallen Knight,Abandoned Girl,Kerack Frigate,An Craite Raiders,Hamadryad
2020-07-01 00:47:49,7.0.0.99,1,master mirror,,Fortune Teller*,Oakcritters,Angry Mob,Smoke them out!,Winter Queen,Herkja Drummond,Urcheon of Erlenwald
2020-07-01 00:47:10,7.0.0.99,1,master mirror,,Mage Infiltrator,Drummond Villager,Drummond Berserker,Will o' the wisp*,Urcheon of Erlenwald,Lieutenant Von Herst,Marlene de Trastamara
2020-07-01 00:44:43,7.0.0.99,1,master mirror,,Oakcritters,Fortune Teller,Abandoned Girl,Circle of Life,Egmund*,Marlene de Trastamara,Roderick de Wett
2020-07-01 00:42:50,7.0.0.99,1,master mirror,,Offering,Fortune Teller,Oakcritters,Red Riders,An Craite Raiders,Amnesty,Kerack Frigate
2020-07-01 00:41:58,7.0.0.99,1,master mirror,,Oakcritters,Kerack Cutthroat,Drummond Berserker,Cleric of the Flaming Rose,Naglfar's Crew*,Lonely Champion,Will o' the wisp
2020-07-01 00:39:58,7.0.0.99,1,master mirror,,Abandoned Girl,Kerack Marine,Kerack Cutthroat,War of Clans,Cleric of the Flaming Rose,Red Riders,Mage Torturer
2020-07-01 00:38:53,7.0.0.99,1,master mirror,,Naglfar's Taskmaster,Fallen Knight,Fortune Teller,Hamadryad,Smuggle*,Seditious Aristocrats,Circle of Life
2020-07-01 00:38:05,7.0.0.99,1,master mirror,,Drummond Villager,Angry Mob,Oakcritters,Will o' the wisp,Amnesty,Hamadryad,Lonely Champion
2020-07-01 00:37:22,7.0.0.99,1,master mirror,,Abandoned Girl,Naglfar's Taskmaster,Mage Infiltrator,Smuggle,Wild Hunt Bruiser,Lonely Champion,Mage Torturer
2020-07-01 00:36:37,7.0.0.99,1,master mirror,,Offering,Fallen Knight,Abandoned Girl,Lonely Champion,Hamadryad*,Naglfar's Crew,Smuggle
2020-07-01 00:22:16,7.0.0.99,1,master mirror,,Fortune Teller,Mutants Maker,Naglfar's Taskmaster,Hamadryad,Pact,Duén Canell Guardian,Lonely Champion
2020-07-01 00:19:30,7.0.0.99,1,master mirror,,Oakcritters,Abandoned Girl,Kerack Marine,Naglfar's Crew,Red Riders*,Smoke them out!,Amnesty
2020-07-01 00:18:41,7.0.0.99,1,master mirror,,Kerack Marine,Drummond Villager,Fortune Teller,Smuggle,Hamadryad*,Pact*,Kerack Frigate
2020-07-01 00:17:49,7.0.0.99,1,master mirror,,Oakcritters,Drummond Villager,Naglfar's Taskmaster,Mage Torturer,Amnesty*,Smoke them out!,Tuirseach Invader
2020-07-01 00:16:27,7.0.0.99,1,master mirror,,Mage Infiltrator,Kerack Cutthroat,Naglfar's Taskmaster,Lonely Champion,War of Clans,Smuggle,Squirrel
2020-06-30 23:50:00,7.0.0.99,1,master mirror,,Fortune Teller,Abandoned Girl,Kerack Cutthroat,Will o' the wisp,Red Riders,Pact,Circle of Life
2020-06-30 23:48:47,7.0.0.99,1,master mirror,,Kerack Marine,Kerack Cutthroat,Aen Elle Conqueror,Will o' the wisp,Skjordal Drummond,Egmund,Ethereal
2020-06-30 23:47:21,7.0.0.99,1,master mirror,,Duén Canell Guardian,Kerack Cutthroat,Oakcritters,Kerack Marine,Lieutenant Von Herst,Dunca,King Belohun
2020-06-28 21:28:41,6.3.0.92,1,base set,,Lyrian Scytheman,Rock Barrage,Bridge Troll,Vanhemar,Ocvist,Odrin,Morvudd
2020-06-26 18:30:15,6.3.0.92,1,ultimate premium keg,,Recruit*,Fire Scorpion*,Wild Hunt Navigator*,Armored Drakkar*,Triss: Telekinesis*,Ge'els*,Isengrim Faoiltiarna
2020-06-20 23:56:29,6.3.0.92,1,base set,,Rock Barrage,Damned Sorceress,Alchemist,Epidemic,Dimun Warship,Daerlan Soldier,Mastercrafted Spear
2020-06-14 12:27:56,6.3.0.92,1,base set,,Dimun Smuggler,An Craite Armorsmith,Maerolorn,Dimeritium Shackles,Hideous Feast,Tuirseach Veteran,Rot Tosser
2020-06-12 18:31:00,6.3.0.92,1,nilfgaard,,Fangs of the Empire,Ard Feainn Heavy Cavalry,Alchemist,Imperial Diplomacy,Master of Disguise,Imperial Diviner,Assassination
2020-06-12 18:31:00,6.3.0.92,1,nilfgaard,,Ard Feainn Heavy Cavalry,Vicovaro Novice,Van Moorlehem Servant,Combat Engineer,Van Moorlehem Hunter,Hunting Pack,Imperial Diviner
2020-06-12 18:30:00,6.3.0.92,1,nilfgaard,,Imperial Diplomacy,Assassination,Deithwen Arbalest,Infiltrator,Damien de la Tour,Vattier de Rideaux,Tourney Shaelmaar
2020-06-12 18:27:00,6.3.0.92,1,nilfgaard,,Impera Enforcers,Viper Witcher,Menagerie Keeper,Van Moorlehem Servant,Ard Feainn Crossbowman,Daerlan Soldier,Van Moorlehem Hunter
2020-06-12 18:26:00,6.3.0.92,1,nilfgaard,,Ard Feainn Light Cavalry,Ard Feainn Heavy Cavalry,Alchemist,Nauzicaa Brigade,Hunting Pack,Ard Feainn Tortoise,Viper Witcher
2020-06-12 18:24:00,6.3.0.92,1,base set,,Temerian Infantry,Lyrian Cavalry,Siege Master,Aedirnian Mauler,Battering Ram,Crushing Trap,Dimun Corsair
2020-06-12 18:23:00,6.3.0.92,1,nilfgaard,,Mangonel,Menagerie Keeper,Alchemist,Vicovaro Novice,Van Moorlehem Hunter*,Duchess's Informant,Master of Disguise
2020-06-12 18:22:00,6.3.0.92,1,nilfgaard,,Infiltrator,Recruit,Fangs of the Empire,Duchess's Informant,Masquerade Ball,Vilgefortz,Bribery
2020-06-12 18:21:00,6.3.0.92,1,nilfgaard,,Fangs of the Empire,Deithwen Arbalest,Infiltrator,Ard Feainn Tortoise,Van Moorlehem Hunter,Toussaint Knight-Errant,Imperial Diviner
2020-06-12 18:20:00,6.3.0.92,1,nilfgaard,,Van Moorlehem Servant,Tourney Joust,Impera Enforcers,Imperial Golem,Ard Feainn Tortoise,Nauzicaa Brigade,Vicovaro Novice
2020-06-12 18:20:00,6.3.0.92,1,nilfgaard,,Ard Feainn Heavy Cavalry,Standard Bearer,Venendal Elite,Nauzicaa Brigade,Daerlan Soldier,Toussaint Knight-Errant,Vicovaro Novice
2020-06-12 18:19:00,6.3.0.92,1,nilfgaard,,Recruit,Battle Preparation,Tourney Joust,Duchess's Informant,Vicovaro Novice,Rot Tosser,Nauzicaa Brigade
2020-06-12 18:18:00,6.3.0.92,1,nilfgaard,,Battle Preparation,Van Moorlehem Servant,Thirsty Dame,Rot Tosser,Daerlan Soldier,Van Moorlehem Hunter,Duchess's Informant
2020-06-12 18:17:00,6.3.0.92,1,nilfgaard,,Fire Scorpion,Ard Feainn Heavy Cavalry,Combat Engineer,Nauzicaa Brigade,Ard Feainn Crossbowman,Imperial Diviner,Ard Feainn Tortoise
2020-06-12 18:16:00,6.3.0.92,1,nilfgaard,,Toussaint Knight-Errant,Slave Hunter,Experimental Remedy*,Joachim de Wett,Hefty Helge*,Vreemde,Vrygheff
2020-06-12 18:14:00,6.3.0.92,1,nilfgaard,,Venendal Elite,Fire Scorpion,Battle Preparation,Nauzicaa Brigade,False Ciri,Artorius Vigo,Albrich
2020-06-12 18:04:00,6.3.0.92,1,nilfgaard,,Alchemist,Infiltrator,Slave Driver,Toussaint Knight-Errant,Ramon Tyrconnel,Collar,Vivienne de Tabris
2020-06-12 18:03:00,6.3.0.92,1,nilfgaard,,Venendal Elite,Ducal Guard,Ard Feainn Light Cavalry,Van Moorlehem Hunter,Vanhemar,Fringilla Vigo,Roderick of Dun Tynne
2020-06-12 18:02:00,6.3.0.92,1,nilfgaard,,Mangonel,Tourney Joust,Ard Feainn Light Cavalry,Imperial Diviner,Viper Witcher,Van Moorlehem Hunter,Imperial Diplomacy
2020-06-12 18:01:00,6.3.0.92,1,nilfgaard,,Venendal Elite,Slave Driver,Battle Preparation,Experimental Remedy,Cantarella,Hefty Helge,Albrich
2020-06-12 18:01:00,6.3.0.92,1,nilfgaard,,Impera Enforcers,Deithwen Arbalest,Ointment,Nauzicaa Brigade,Ard Feainn Crossbowman,Viper Witcher,Van Moorlehem Hunter
2020-06-12 18:00:00,6.3.0.92,1,nilfgaard,,Venendal Elite,Ducal Guard,Ard Feainn Heavy Cavalry,Imperial Diviner,Hunting Pack,Imperial Diplomacy,Rot Tosser
2020-06-12 17:59:00,6.3.0.92,1,nilfgaard,,Menagerie Keeper,Van Moorlehem Hunter,Tourney Joust,Viper Witcher,Emissary*,Rot Tosser,Ard Feainn Crossbowman
2020-06-12 17:58:00,6.3.0.92,1,nilfgaard,,Battle Preparation,Impera Enforcers,Ard Feainn Heavy Cavalry,Rot Tosser,Duchess's Informant,Vicovaro Novice,Experimental Remedy
2020-06-12 17:57:00,6.3.0.92,1,nilfgaard,,Ard Feainn Heavy Cavalry,Ducal Guard,Fangs of the Empire,Experimental Remedy,Vicovaro Novice,Hunting Pack,Imperial Diplomacy
2020-06-12 17:56:00,6.3.0.92,1,nilfgaard,,Mangonel,Impera Enforcers,Slave Driver,Roderick of Dun Tynne,Nauzicaa Brigade*,Imperial Diviner,Ard Feainn Tortoise
2020-06-12 17:55:00,6.3.0.92,1,nilfgaard,,Vicovaro Novice,Ard Feainn Light Cavalry,Combat Engineer,Mangonel,Albrich,Hefty Helge*,Glynnis aep Loernach
2020-06-12 17:54:00,6.3.0.92,1,nilfgaard,,Thirsty Dame,Ard Feainn Light Cavalry,Mangonel,Viper Witcher,Ard Feainn Tortoise,Vicovaro Novice,Van Moorlehem Hunter
2020-06-12 17:54:00,6.3.0.92,1,nilfgaard,,Battle Preparation,Tourney Joust,Battle Preparation,Experimental Remedy,Master of Disguise,Viper Witcher,Ard Feainn Tortoise
2020-06-12 17:50:00,6.3.0.92,1,nilfgaard,,Alchemist,Standard Bearer,Slave Driver,Hunting Pack,Letho: Kingslayer,Vilgefortz,Vivienne de Tabris
2020-06-12 17:46:00,6.3.0.92,1,nilfgaard,,Toussaint Knight-Errant,Rot Tosser,Slave Driver,Fringilla Vigo,Nauzicaa Brigade,Vicovaro Novice,Imperial Diviner
2020-06-12 17:45:00,6.3.0.92,1,nilfgaard,,Standard Bearer,Slave Hunter,Slave Driver,Ard Feainn Crossbowman,Rot Tosser,Vicovaro Novice,Imperial Diplomacy
2020-06-12 17:44:00,6.3.0.92,1,nilfgaard,,Thirsty Dame,Alchemist,Venendal Elite,Imperial Diviner,Daerlan Soldier,Assassination,Van Moorlehem Hunter
2020-06-12 17:42:00,6.3.0.92,1,nilfgaard,,Recruit,Slave Driver,Ard Feainn Light Cavalry,Assassination,Ard Feainn Tortoise,Daerlan Soldier,Van Moorlehem Hunter
2020-06-12 17:41:00,6.3.0.92,1,nilfgaard,,Ard Feainn Light Cavalry,Slave Driver,Battle Preparation,Imperial Diplomacy,Rot Tosser*,Vicovaro Novice,Nauzicaa Brigade
2020-06-12 17:40:00,6.3.0.92,1,nilfgaard,,Combat Engineer,Ducal Guard,Standard Bearer,Ard Feainn Crossbowman,Van Moorlehem Hunter,Duchess's Informant,Imperial Diplomacy
2020-06-12 17:39:00,6.3.0.92,1,nilfgaard,,Fire Scorpion,Alchemist,Infiltrator,Toussaint Knight-Errant,Van Moorlehem Hunter,Hunting Pack,Daerlan Soldier
2020-06-12 17:39:00,6.3.0.92,1,nilfgaard,,Combat Engineer,Thirsty Dame,Fire Scorpion,Assassination,Duchess's Informant,Nauzicaa Brigade,Master of Disguise
2020-06-12 17:37:00,6.3.0.92,1,nilfgaard,,Standard Bearer,Deithwen Arbalest,Impera Enforcers,Viper Witcher,Hunting Pack,Experimental Remedy,Vicovaro Novice
2020-06-12 17:07:00,6.3.0.92,1,skellige,,Disgraced Brawler,Crow Messenger,An Craite Blacksmith,Svalblod Cultist,Armored Drakkar,Drummond Queensguard,Dimun Corsair
2020-06-12 17:05:00,6.3.0.92,1,base set,,Blue Mountain Elite,Ban Ard Tutor,Damned Sorceress,Ancient Foglet,Dol Blathanna Bowman,Foglet*,Daerlan Soldier
2020-06-12 17:00:00,6.3.0.92,1,base set,,Fire Scorpion,Panther,Hawker Support,Sabrina's Inferno,Vreemde,Harald Houndsnout,Bekker's Rockslide
2019-07-13 20:56:00,3.0.1.92,1,novigrad,,Kikimore Warrior,Townsfolk,Line of Credit,Eavesdrop,Tidecloak Hideaway,Eventide Plunder,Fisstech Trafficker
2019-07-13 20:56:00,3.0.1.92,1,base set,,Epidemic,Dol Blathanna Sentry,Ice Giant,Drowner,Rivian Pikeman,Biting Frost,Dimun Corsair
2019-07-13 20:55:00,3.0.1.92,1,novigrad,,Arena Ghoul,Sea Jackal,Eavesdrop,Slander,Witch Hunter Executioner,Tax Collector,Halfling Safecracker
2019-07-13 20:31:00,3.0.1.92,1,novigrad,,Arena Ghoul*,Cutup Lackey,Wretched Addict,Back-Alley Chemist,Eventide Plunder,Eternal Fire Disciple,Kikimore Warrior
2019-07-13 20:30:00,3.0.1.92,1,novigrad,,Sly Seductress,Bare-Knuckle Brawler,Dip in the Pontar,Temple Guard,Witch Hunter,Cleaver's Muscle,Fisstech Trafficker
2019-07-13 20:28:00,3.0.1.92,1,novigrad,,Townsfolk,Fisstech,Tidecloak Hideaway,Dip in the Pontar,Adalbertus Kalkstein,Pugo Boom-Breaker,Sir Skewertooth
2019-07-13 20:27:00,3.0.1.92,1,novigrad,,Fence,Line of Credit,Dip in the Pontar,Eternal Fire Priest,Keeper of the Flame*,Halfling Safecracker,Blindeye Apothecary
2019-07-13 20:26:00,3.0.1.92,1,novigrad,,Tax Collector,Coerced Blacksmith,Wretched Addict,Congregation,Witch Hunter*,Sewer Raiders,Eternal Fire Priest
2019-07-13 20:24:00,3.0.1.92,1,crimson curse,,Vildkaarl,Disgraced Brawler,Fleder,Garkain,Brokilon Sentinel*,Cintrian Knight,Thaw
2019-07-13 20:24:00,3.0.1.92,1,crimson curse,,Alp,Dryad Grovekeeper,Dryad Ranger,Pellar,Svalblod Totem,Syanna,Crimson Curse
2019-07-13 20:23:00,3.0.1.92,1,crimson curse,,Cintrian Royal Guard,Feast of Blood,Fangs of the Empire,Vildkaarl,Forest Whisperer,Bruxa,Oxenfurt Scholar
2019-07-13 20:22:00,3.0.1.92,1,novigrad,,Crownsplitter Thug,Firesworn Scribe,Arena Endrega,Congregation,Tax Collector,Fisstech Trafficker,Eternal Fire Inquisitor
2019-07-13 20:21:00,3.0.1.92,1,novigrad,,Blindeye Apothecary,Firesworn Scribe,Congregation,Fence,Renegade Mage,Eternal Fire Disciple,Eternal Fire Inquisitor
2019-07-13 20:20:00,3.0.1.92,1,novigrad,,Keeper of the Flame,Bloody Good Fun,Congregation,Arena Endrega,Ewald Borsodi,Wheel of Fortune*,Damnation
2019-07-13 20:19:00,3.0.1.92,1,novigrad,,Eternal Fire Inquisitor,Back-Alley Chemist,Eavesdrop,Swindle,Sewer Raiders,Sly Seductress,Witch Hunter Executioner
2019-07-13 20:18:00,3.0.1.92,1,novigrad,,Beggar,Swindle,Blindeye Apothecary,Firesworn Scribe,Cleaver's Muscle,Eternal Fire Disciple,Eternal Fire Priest
2019-07-13 20:15:00,3.0.1.92,1,crimson curse,,Samum,Bruxa,Cintrian Envoy,Tempest,Artorius Vigo,Windhalm of Attre,Musicians of Blaviken
2019-07-13 20:15:00,3.0.1.92,1,crimson curse,,Feast of Blood,Traveling Merchant,Dancing Star,Svalblod Butcher,Queen of the Night,Tempest,Artorius Vigo
2019-07-13 20:14:00,3.0.1.92,1,crimson curse,,Cintrian Knight,Sandstorm,Dryad Grovekeeper,Cintrian Spellweaver,Cintrian Artificer,Watchman,Fleder
2019-07-13 20:13:00,3.0.1.92,1,crimson curse,,Imperial Diviner,Inspirational Ballad,Dryad Grovekeeper,Menagerie Keeper,Toussaint Knight-Errant,Fleder,Watchman
2019-07-13 20:12:00,3.0.1.92,1,crimson curse,,Brokilon Sentinel,Red Haze,Fangs of the Empire,Svalblod Ravager,Dryad Matron*,Cintrian Knight,Toussaint Knight-Errant
2019-07-13 20:11:00,3.0.1.92,1,base set,,Tuirseach Veteran,Werewolf,Slave Driver,Slave Hunter,Experimental Remedy*,Aretuza Adept,An Craite Greatsword
2019-07-13 20:10:00,3.0.1.92,1,base set,,Scoia'tael Neophyte,Panther,Dol Blathanna Archer,Siege Master,Dragon's Dream*,Malena,Assire var Anahid
2019-07-13 20:10:00,3.0.1.92,1,base set,,Biting Frost,Alchemist,Deithwen Arbalest,Infiltrator,Vrihedd Brigade,Foglet,An Craite Marauder
2019-07-13 20:09:00,3.0.1.92,1,base set,,Scout,Tuirseach Bearmaster,Forktail,Brokvar Hunter,Summoning Circle,False Ciri,Barclay Els
2019-07-13 20:08:00,3.0.1.92,1,base set,,Vrihedd Sappers,Stammelford's Tremors,Alchemist,Mangonel,Lyrian Landsknecht,Raging Bear,Vicovaro Novice
2019-07-13 20:06:00,3.0.1.92,1,novigrad,,Kikimore Warrior,Townsfolk,Sea Jackal,Line of Credit,Harald Gord,Tunnel Drill,Kurt
2019-07-13 20:05:00,3.0.1.92,1,novigrad,,Sly Seductress,Slander,Shakedown,Payday,Fisstech Trafficker,Tidecloak Hideaway,Kikimore Warrior
2019-07-13 20:04:00,3.0.1.92,1,novigrad,,Tidecloak Ransackers,Back-Alley Chemist,Swindle,Beggar,Tavern Brawl,Wheel of Fortune,Sir Skewertooth
2019-07-13 20:03:00,3.0.1.92,1,novigrad,,Oxenfurt Naturalist,Courier,Casino Bouncers,Back-Alley Chemist,Sir Skewertooth,Caesar Bilzen,Hammond
2019-07-13 20:01:00,3.0.1.92,1,novigrad,,Sewer Raiders,Back-Alley Chemist,Bloody Good Fun,Eavesdrop,Eternal Fire Disciple,Fisstech Trafficker,Crownsplitter Thug
2019-07-13 19:59:00,3.0.1.92,1,crimson curse,,Pellar,Svalblod Butcher,Cintrian Royal Guard,Fangs of the Empire,Watchman*,Cintrian Artificer,Dryad Matron
2019-07-13 19:58:00,3.0.1.92,1,crimson curse,,Disgraced Brawler,Dryad Fledgling,Pellar,Cintrian Spellweaver,Cintrian Knight,Traveling Merchant,Bruxa
2019-07-13 19:58:00,3.0.1.92,1,crimson curse,,Watchman,Alp,Menagerie Keeper,Dryad's Caress,Imperial Diviner*,Bruxa,Dryad Matron
2019-07-13 19:56:00,3.0.1.92,1,crimson curse,,Brokilon Sentinel,Disgraced Brawler,Feast of Blood,Cintrian Spellweaver,Primal Savagery,Forest Whisperer,Spring Equinox
2019-07-13 19:54:00,3.0.1.92,1,crimson curse,,Tourney Joust,Dryad Grovekeeper,Traveling Merchant,Undying Thirst,Weeping Willow,Scepter of Storms,Gael
2019-07-13 19:52:00,3.0.1.92,1,base set,,Tuirseach Bearmaster,Combat Engineer,Mahakam Guard,Standard Bearer,Experimental Remedy,Waylay,Dimun Corsair
2019-07-13 19:51:00,3.0.1.92,1,base set,,Blue Stripes Scout,Spores,Bridge Troll,Arachas Venom*,Daerlan Soldier,Mastercrafted Spear,Rivian Pikeman
2019-07-13 19:51:00,3.0.1.92,1,base set,,Imperial Diplomacy,Vran Warrior,Petri's Philter,Heymaey Protector,Forbidden Magic,Harpy Egg,Tuirseach Bearmaster
2019-07-13 19:50:00,3.0.1.92,1,base set,,Swallow,Jutta an Dimun,Lyrian Scytheman,Crushing Trap,Imperial Diplomacy,Ancient Foglet,Dimun Corsair
2019-07-13 19:49:00,3.0.1.92,1,base set,,Mahakam Guard,Dimun Corsair,Vran Warrior,Temerian Infantry,Slyzard,Forbidden Magic,Drummond Queensguard
2019-07-13 19:48:00,3.0.1.92,1,base set,,Elven Scout,Slave Driver,Ban Ard Tutor,Crushing Trap,Elven Swordmaster,Ice Troll,Vicovaro Novice
2019-07-13 19:47:00,3.0.1.92,1,base set,,Aretuza Adept,Predatory Dive,Hawker Support,Poor Fucking Infantry,Elven Swordmaster,Assassination,Blue Stripes Scout
2019-07-13 19:47:00,3.0.1.92,1,base set,,Wyvern Scale Shield,Trebuchet,Half-Elf Hunter,Slave Driver,Drummond Queensguard,Impenetrable Fog,Crushing Trap
2019-07-13 19:46:00,3.0.1.92,1,base set,,Assassination,Pyrotechnician,Farseer,Dimeritium Bomb,Peter Saar Gwynleve,Colossal Ifrit,Serpent Trap
2019-07-13 19:45:00,3.0.1.92,1,base set,,Tuirseach Skirmisher,Pyrotechnician,Werewolf,Cursed Knight,Drummond Queensguard,Biting Frost,Dol Blathanna Bowman
2019-07-13 15:32:00,3.0.1.92,1,premium base set,,An Craite Greatsword*,Deithwen Arbalest*,Temerian Infantry*,Vran Warrior*,Tuirseach Veteran*,Waylay*,Aedirnian Mauler*
2019-07-13 15:31:00,3.0.1.92,1,premium base set,,Emissary*,Vran Warrior*,Alchemist*,Wild Hunt Rider*,Cursed Knight*,Vicovaro Novice*,Impenetrable Fog*
2019-07-13 15:30:00,3.0.1.92,1,premium base set,,Slave Hunter*,Mahakam Marauder*,Mastercrafted Spear*,Pyrotechnician*,Forbidden Magic*,Slyzard*,Incinerating Trap*
2019-07-13 15:29:00,3.0.1.92,1,premium base set,,Mahakam Ale*,Winch*,Petri's Philter*,Slave Driver*,Vicovaro Novice*,Biting Frost*,Tuirseach Veteran*
2019-07-13 15:27:00,3.0.1.92,1,premium base set,,Frightener: Dormant*,Dol Blathanna Sentry*,Temerian Infantry*,Dol Blathanna Archer*,Blue Stripes Commando*,Nauzicaa Brigade*,Raging Bear*
2019-07-13 15:25:00,3.0.1.92,1,premium base set,,Raging Bear*,Werewolf*,Lyrian Arbalest*,Elven Wardancer*,Dwarven Agitator*,Experimental Remedy*,Tuirseach Veteran*
2019-07-13 15:23:00,3.0.1.92,1,premium base set,,Assassination*,Nekker Warrior*,Dol Blathanna Sentry*,Vran Warrior*,Nilfgaardian Knight*,Golden Froth*,Battering Ram*
2019-07-13 15:20:00,3.0.1.92,1,premium base set,,Tuirseach Bearmaster*,Fire Scorpion*,Ointment*,Poor Fucking Infantry*,Schirrú*,Ermion*,Falibor*
2019-07-13 15:18:00,3.0.1.92,1,novigrad,,Kikimore Warrior,Swindle,Cutup Lackey,Arena Endrega,Witch Hunter Executioner,Fisstech Trafficker,Tidecloak Ransackers
2019-07-13 15:16:00,3.0.1.92,1,crimson curse,,Svalblod Cultist,Dryad's Caress,Samum,Dryad Grovekeeper,Svalblod Priest,Oxenfurt Scholar,Forest Whisperer
2019-07-13 15:15:00,3.0.1.92,1,monster,,Bruxa,Wyvern,Forktail,Plumard,Harpy Egg,Celaeno Harpy,Fleder
